y,January,February,March,April,May,June,July,August,September,October,November,December,clade,stat_type
-87.5,,,,,,,,,,,,,class_UBA1144,mean
-87.5,,,,,,,,,,,,,class_UBA1144,sd
-87.5,,,,,,,,,,,,,class_UBA4151,mean
-87.5,,,,,,,,,,,,,class_UBA4151,sd
-87.5,,,,,,,,,,,,,class_UBA796,mean
-87.5,,,,,,,,,,,,,class_UBA796,sd
-87.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-87.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-87.5,,,,,,,,,,,,,domain_Archaea,mean
-87.5,,,,,,,,,,,,,domain_Archaea,sd
-87.5,,,,,,,,,,,,,domain_Bacteria,mean
-87.5,,,,,,,,,,,,,domain_Bacteria,sd
-87.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-87.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
-87.5,,,,,,,,,,,,,phylum_Bacteroidota,mean
-87.5,,,,,,,,,,,,,phylum_Bacteroidota,sd
-87.5,,,,,,,,,,,,,phylum_Calditrichota,mean
-87.5,,,,,,,,,,,,,phylum_Calditrichota,sd
-87.5,,,,,,,,,,,,,phylum_Chlamydiota,mean
-87.5,,,,,,,,,,,,,phylum_Chlamydiota,sd
-87.5,,,,,,,,,,,,,phylum_Cyanobacteriota,mean
-87.5,,,,,,,,,,,,,phylum_Cyanobacteriota,sd
-87.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,mean
-87.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,sd
-87.5,,,,,,,,,,,,,phylum_Fibrobacterota,mean
-87.5,,,,,,,,,,,,,phylum_Fibrobacterota,sd
-87.5,,,,,,,,,,,,,phylum_Marinisomatota,mean
-87.5,,,,,,,,,,,,,phylum_Marinisomatota,sd
-87.5,,,,,,,,,,,,,phylum_Myxococcota,mean
-87.5,,,,,,,,,,,,,phylum_Myxococcota,sd
-87.5,,,,,,,,,,,,,phylum_Pseudomonadota,mean
-87.5,,,,,,,,,,,,,phylum_Pseudomonadota,sd
-87.5,,,,,,,,,,,,,phylum_SAR324,mean
-87.5,,,,,,,,,,,,,phylum_SAR324,sd
-87.5,,,,,,,,,,,,,phylum_Thermoplasmatota,mean
-87.5,,,,,,,,,,,,,phylum_Thermoplasmatota,sd
-87.5,,,,,,,,,,,,,phylum_Thermoproteota,mean
-87.5,,,,,,,,,,,,,phylum_Thermoproteota,sd
-87.5,,,,,,,,,,,,,prokaryotes,mean
-87.5,,,,,,,,,,,,,prokaryotes,sd
-86.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
-86.5,,,,,,,,,,,,,class_Acidimicrobiia,sd
-86.5,,,,,,,,,,,,,class_Alphaproteobacteria,mean
-86.5,,,,,,,,,,,,,class_Alphaproteobacteria,sd
-86.5,,,,,,,,,,,,,class_Bacteroidia,mean
-86.5,,,,,,,,,,,,,class_Bacteroidia,sd
-86.5,,,,,,,,,,,,,class_Calditrichia,mean
-86.5,,,,,,,,,,,,,class_Calditrichia,sd
-86.5,,,,,,,,,,,,,class_Chlamydiia,mean
-86.5,,,,,,,,,,,,,class_Chlamydiia,sd
-86.5,,,,,,,,,,,,,class_Cyanobacteriia,mean
-86.5,,,,,,,,,,,,,class_Cyanobacteriia,sd
-86.5,,,,,,,,,,,,,class_Fibrobacteria,mean
-86.5,,,,,,,,,,,,,class_Fibrobacteria,sd
-86.5,,,,,,,,,,,,,class_Gammaproteobacteria,mean
-86.5,,,,,,,,,,,,,class_Gammaproteobacteria,sd
-86.5,,,,,,,,,,,,,class_Marinisomatia,mean
-86.5,,,,,,,,,,,,,class_Marinisomatia,sd
-86.5,,,,,,,,,,,,,class_Nitrososphaeria,mean
-86.5,,,,,,,,,,,,,class_Nitrososphaeria,sd
-86.5,,,,,,,,,,,,,class_Poseidoniia,mean
-86.5,,,,,,,,,,,,,class_Poseidoniia,sd
-86.5,,,,,,,,,,,,,class_SAR324,mean
-86.5,,,,,,,,,,,,,class_SAR324,sd
-86.5,,,,,,,,,,,,,class_UBA1144,mean
-86.5,,,,,,,,,,,,,class_UBA1144,sd
-86.5,,,,,,,,,,,,,class_UBA4151,mean
-86.5,,,,,,,,,,,,,class_UBA4151,sd
-86.5,,,,,,,,,,,,,class_UBA796,mean
-86.5,,,,,,,,,,,,,class_UBA796,sd
-86.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-86.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-86.5,,,,,,,,,,,,,domain_Archaea,mean
-86.5,,,,,,,,,,,,,domain_Archaea,sd
-86.5,,,,,,,,,,,,,domain_Bacteria,mean
-86.5,,,,,,,,,,,,,domain_Bacteria,sd
-86.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-86.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
-86.5,,,,,,,,,,,,,phylum_Bacteroidota,mean
-86.5,,,,,,,,,,,,,phylum_Bacteroidota,sd
-86.5,,,,,,,,,,,,,phylum_Calditrichota,mean
-86.5,,,,,,,,,,,,,phylum_Calditrichota,sd
-86.5,,,,,,,,,,,,,phylum_Chlamydiota,mean
-86.5,,,,,,,,,,,,,phylum_Chlamydiota,sd
-86.5,,,,,,,,,,,,,phylum_Cyanobacteriota,mean
-86.5,,,,,,,,,,,,,phylum_Cyanobacteriota,sd
-86.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,mean
-86.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,sd
-86.5,,,,,,,,,,,,,phylum_Fibrobacterota,mean
-86.5,,,,,,,,,,,,,phylum_Fibrobacterota,sd
-86.5,,,,,,,,,,,,,phylum_Marinisomatota,mean
-86.5,,,,,,,,,,,,,phylum_Marinisomatota,sd
-86.5,,,,,,,,,,,,,phylum_Myxococcota,mean
-86.5,,,,,,,,,,,,,phylum_Myxococcota,sd
-86.5,,,,,,,,,,,,,phylum_Pseudomonadota,mean
-86.5,,,,,,,,,,,,,phylum_Pseudomonadota,sd
-86.5,,,,,,,,,,,,,phylum_SAR324,mean
-86.5,,,,,,,,,,,,,phylum_SAR324,sd
-86.5,,,,,,,,,,,,,phylum_Thermoplasmatota,mean
-86.5,,,,,,,,,,,,,phylum_Thermoplasmatota,sd
-86.5,,,,,,,,,,,,,phylum_Thermoproteota,mean
-86.5,,,,,,,,,,,,,phylum_Thermoproteota,sd
-86.5,,,,,,,,,,,,,prokaryotes,mean
-86.5,,,,,,,,,,,,,prokaryotes,sd
-85.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
-85.5,,,,,,,,,,,,,class_Acidimicrobiia,sd
-85.5,,,,,,,,,,,,,class_Alphaproteobacteria,mean
-85.5,,,,,,,,,,,,,class_Alphaproteobacteria,sd
-85.5,,,,,,,,,,,,,class_Bacteroidia,mean
-85.5,,,,,,,,,,,,,class_Bacteroidia,sd
-85.5,,,,,,,,,,,,,class_Calditrichia,mean
-85.5,,,,,,,,,,,,,class_Calditrichia,sd
-85.5,,,,,,,,,,,,,class_Chlamydiia,mean
-85.5,,,,,,,,,,,,,class_Chlamydiia,sd
-85.5,,,,,,,,,,,,,class_Cyanobacteriia,mean
-85.5,,,,,,,,,,,,,class_Cyanobacteriia,sd
-85.5,,,,,,,,,,,,,class_Fibrobacteria,mean
-85.5,,,,,,,,,,,,,class_Fibrobacteria,sd
-85.5,,,,,,,,,,,,,class_Gammaproteobacteria,mean
-85.5,,,,,,,,,,,,,class_Gammaproteobacteria,sd
-85.5,,,,,,,,,,,,,class_Marinisomatia,mean
-85.5,,,,,,,,,,,,,class_Marinisomatia,sd
-85.5,,,,,,,,,,,,,class_Nitrososphaeria,mean
-85.5,,,,,,,,,,,,,class_Nitrososphaeria,sd
-85.5,,,,,,,,,,,,,class_Poseidoniia,mean
-85.5,,,,,,,,,,,,,class_Poseidoniia,sd
-85.5,,,,,,,,,,,,,class_SAR324,mean
-85.5,,,,,,,,,,,,,class_SAR324,sd
-85.5,,,,,,,,,,,,,class_UBA1144,mean
-85.5,,,,,,,,,,,,,class_UBA1144,sd
-85.5,,,,,,,,,,,,,class_UBA4151,mean
-85.5,,,,,,,,,,,,,class_UBA4151,sd
-85.5,,,,,,,,,,,,,class_UBA796,mean
-85.5,,,,,,,,,,,,,class_UBA796,sd
-85.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-85.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-85.5,,,,,,,,,,,,,domain_Archaea,mean
-85.5,,,,,,,,,,,,,domain_Archaea,sd
-85.5,,,,,,,,,,,,,domain_Bacteria,mean
-85.5,,,,,,,,,,,,,domain_Bacteria,sd
-85.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-85.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
-85.5,,,,,,,,,,,,,phylum_Bacteroidota,mean
-85.5,,,,,,,,,,,,,phylum_Bacteroidota,sd
-85.5,,,,,,,,,,,,,phylum_Calditrichota,mean
-85.5,,,,,,,,,,,,,phylum_Calditrichota,sd
-85.5,,,,,,,,,,,,,phylum_Chlamydiota,mean
-85.5,,,,,,,,,,,,,phylum_Chlamydiota,sd
-85.5,,,,,,,,,,,,,phylum_Cyanobacteriota,mean
-85.5,,,,,,,,,,,,,phylum_Cyanobacteriota,sd
-85.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,mean
-85.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,sd
-85.5,,,,,,,,,,,,,phylum_Fibrobacterota,mean
-85.5,,,,,,,,,,,,,phylum_Fibrobacterota,sd
-85.5,,,,,,,,,,,,,phylum_Marinisomatota,mean
-85.5,,,,,,,,,,,,,phylum_Marinisomatota,sd
-85.5,,,,,,,,,,,,,phylum_Myxococcota,mean
-85.5,,,,,,,,,,,,,phylum_Myxococcota,sd
-85.5,,,,,,,,,,,,,phylum_Pseudomonadota,mean
-85.5,,,,,,,,,,,,,phylum_Pseudomonadota,sd
-85.5,,,,,,,,,,,,,phylum_SAR324,mean
-85.5,,,,,,,,,,,,,phylum_SAR324,sd
-85.5,,,,,,,,,,,,,phylum_Thermoplasmatota,mean
-85.5,,,,,,,,,,,,,phylum_Thermoplasmatota,sd
-85.5,,,,,,,,,,,,,phylum_Thermoproteota,mean
-85.5,,,,,,,,,,,,,phylum_Thermoproteota,sd
-85.5,,,,,,,,,,,,,prokaryotes,mean
-85.5,,,,,,,,,,,,,prokaryotes,sd
-84.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
-84.5,,,,,,,,,,,,,class_Acidimicrobiia,sd
-84.5,,,,,,,,,,,,,class_Alphaproteobacteria,mean
-84.5,,,,,,,,,,,,,class_Alphaproteobacteria,sd
-84.5,,,,,,,,,,,,,class_Bacteroidia,mean
-84.5,,,,,,,,,,,,,class_Bacteroidia,sd
-84.5,,,,,,,,,,,,,class_Calditrichia,mean
-84.5,,,,,,,,,,,,,class_Calditrichia,sd
-84.5,,,,,,,,,,,,,class_Chlamydiia,mean
-84.5,,,,,,,,,,,,,class_Chlamydiia,sd
-84.5,,,,,,,,,,,,,class_Cyanobacteriia,mean
-84.5,,,,,,,,,,,,,class_Cyanobacteriia,sd
-84.5,,,,,,,,,,,,,class_Fibrobacteria,mean
-84.5,,,,,,,,,,,,,class_Fibrobacteria,sd
-84.5,,,,,,,,,,,,,class_Gammaproteobacteria,mean
-84.5,,,,,,,,,,,,,class_Gammaproteobacteria,sd
-84.5,,,,,,,,,,,,,class_Marinisomatia,mean
-84.5,,,,,,,,,,,,,class_Marinisomatia,sd
-84.5,,,,,,,,,,,,,class_Nitrososphaeria,mean
-84.5,,,,,,,,,,,,,class_Nitrososphaeria,sd
-84.5,,,,,,,,,,,,,class_Poseidoniia,mean
-84.5,,,,,,,,,,,,,class_Poseidoniia,sd
-84.5,,,,,,,,,,,,,class_SAR324,mean
-84.5,,,,,,,,,,,,,class_SAR324,sd
-84.5,,,,,,,,,,,,,class_UBA1144,mean
-84.5,,,,,,,,,,,,,class_UBA1144,sd
-84.5,,,,,,,,,,,,,class_UBA4151,mean
-84.5,,,,,,,,,,,,,class_UBA4151,sd
-84.5,,,,,,,,,,,,,class_UBA796,mean
-84.5,,,,,,,,,,,,,class_UBA796,sd
-84.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-84.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-84.5,,,,,,,,,,,,,domain_Archaea,mean
-84.5,,,,,,,,,,,,,domain_Archaea,sd
-84.5,,,,,,,,,,,,,domain_Bacteria,mean
-84.5,,,,,,,,,,,,,domain_Bacteria,sd
-84.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-84.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
-84.5,,,,,,,,,,,,,phylum_Bacteroidota,mean
-84.5,,,,,,,,,,,,,phylum_Bacteroidota,sd
-84.5,,,,,,,,,,,,,phylum_Calditrichota,mean
-84.5,,,,,,,,,,,,,phylum_Calditrichota,sd
-84.5,,,,,,,,,,,,,phylum_Chlamydiota,mean
-84.5,,,,,,,,,,,,,phylum_Chlamydiota,sd
-84.5,,,,,,,,,,,,,phylum_Cyanobacteriota,mean
-84.5,,,,,,,,,,,,,phylum_Cyanobacteriota,sd
-84.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,mean
-84.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,sd
-84.5,,,,,,,,,,,,,phylum_Fibrobacterota,mean
-84.5,,,,,,,,,,,,,phylum_Fibrobacterota,sd
-84.5,,,,,,,,,,,,,phylum_Marinisomatota,mean
-84.5,,,,,,,,,,,,,phylum_Marinisomatota,sd
-84.5,,,,,,,,,,,,,phylum_Myxococcota,mean
-84.5,,,,,,,,,,,,,phylum_Myxococcota,sd
-84.5,,,,,,,,,,,,,phylum_Pseudomonadota,mean
-84.5,,,,,,,,,,,,,phylum_Pseudomonadota,sd
-84.5,,,,,,,,,,,,,phylum_SAR324,mean
-84.5,,,,,,,,,,,,,phylum_SAR324,sd
-84.5,,,,,,,,,,,,,phylum_Thermoplasmatota,mean
-84.5,,,,,,,,,,,,,phylum_Thermoplasmatota,sd
-84.5,,,,,,,,,,,,,phylum_Thermoproteota,mean
-84.5,,,,,,,,,,,,,phylum_Thermoproteota,sd
-84.5,,,,,,,,,,,,,prokaryotes,mean
-84.5,,,,,,,,,,,,,prokaryotes,sd
-83.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
-83.5,,,,,,,,,,,,,class_Acidimicrobiia,sd
-83.5,,,,,,,,,,,,,class_Alphaproteobacteria,mean
-83.5,,,,,,,,,,,,,class_Alphaproteobacteria,sd
-83.5,,,,,,,,,,,,,class_Bacteroidia,mean
-83.5,,,,,,,,,,,,,class_Bacteroidia,sd
-83.5,,,,,,,,,,,,,class_Calditrichia,mean
-83.5,,,,,,,,,,,,,class_Calditrichia,sd
-83.5,,,,,,,,,,,,,class_Chlamydiia,mean
-83.5,,,,,,,,,,,,,class_Chlamydiia,sd
-83.5,,,,,,,,,,,,,class_Cyanobacteriia,mean
-83.5,,,,,,,,,,,,,class_Cyanobacteriia,sd
-83.5,,,,,,,,,,,,,class_Fibrobacteria,mean
-83.5,,,,,,,,,,,,,class_Fibrobacteria,sd
-83.5,,,,,,,,,,,,,class_Gammaproteobacteria,mean
-83.5,,,,,,,,,,,,,class_Gammaproteobacteria,sd
-83.5,,,,,,,,,,,,,class_Marinisomatia,mean
-83.5,,,,,,,,,,,,,class_Marinisomatia,sd
-83.5,,,,,,,,,,,,,class_Nitrososphaeria,mean
-83.5,,,,,,,,,,,,,class_Nitrososphaeria,sd
-83.5,,,,,,,,,,,,,class_Poseidoniia,mean
-83.5,,,,,,,,,,,,,class_Poseidoniia,sd
-83.5,,,,,,,,,,,,,class_SAR324,mean
-83.5,,,,,,,,,,,,,class_SAR324,sd
-83.5,,,,,,,,,,,,,class_UBA1144,mean
-83.5,,,,,,,,,,,,,class_UBA1144,sd
-83.5,,,,,,,,,,,,,class_UBA4151,mean
-83.5,,,,,,,,,,,,,class_UBA4151,sd
-83.5,,,,,,,,,,,,,class_UBA796,mean
-83.5,,,,,,,,,,,,,class_UBA796,sd
-83.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-83.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-83.5,,,,,,,,,,,,,domain_Archaea,mean
-83.5,,,,,,,,,,,,,domain_Archaea,sd
-83.5,,,,,,,,,,,,,domain_Bacteria,mean
-83.5,,,,,,,,,,,,,domain_Bacteria,sd
-83.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-83.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
-83.5,,,,,,,,,,,,,phylum_Bacteroidota,mean
-83.5,,,,,,,,,,,,,phylum_Bacteroidota,sd
-83.5,,,,,,,,,,,,,phylum_Calditrichota,mean
-83.5,,,,,,,,,,,,,phylum_Calditrichota,sd
-83.5,,,,,,,,,,,,,phylum_Chlamydiota,mean
-83.5,,,,,,,,,,,,,phylum_Chlamydiota,sd
-83.5,,,,,,,,,,,,,phylum_Cyanobacteriota,mean
-83.5,,,,,,,,,,,,,phylum_Cyanobacteriota,sd
-83.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,mean
-83.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,sd
-83.5,,,,,,,,,,,,,phylum_Fibrobacterota,mean
-83.5,,,,,,,,,,,,,phylum_Fibrobacterota,sd
-83.5,,,,,,,,,,,,,phylum_Marinisomatota,mean
-83.5,,,,,,,,,,,,,phylum_Marinisomatota,sd
-83.5,,,,,,,,,,,,,phylum_Myxococcota,mean
-83.5,,,,,,,,,,,,,phylum_Myxococcota,sd
-83.5,,,,,,,,,,,,,phylum_Pseudomonadota,mean
-83.5,,,,,,,,,,,,,phylum_Pseudomonadota,sd
-83.5,,,,,,,,,,,,,phylum_SAR324,mean
-83.5,,,,,,,,,,,,,phylum_SAR324,sd
-83.5,,,,,,,,,,,,,phylum_Thermoplasmatota,mean
-83.5,,,,,,,,,,,,,phylum_Thermoplasmatota,sd
-83.5,,,,,,,,,,,,,phylum_Thermoproteota,mean
-83.5,,,,,,,,,,,,,phylum_Thermoproteota,sd
-83.5,,,,,,,,,,,,,prokaryotes,mean
-83.5,,,,,,,,,,,,,prokaryotes,sd
-82.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
